oxbbbxbob,o
bxobbxbob,o
bxbobxbob,o
bxbboxbob,o
bxbbbxoob,o
oxbbbxbbo,o
bxobbxbbo,o
bxbobxbbo,o
bxbboxbbo,o
bxbbbxobo,o
bxbbbxboo,o
ooxbbxbbb,x
obxobxbbb,o
boxobxbbb,o
obxboxbbb,o
boxboxbbb,o
bbxooxbbb,d
obxbbxobb,o
boxbbxobb,o
bbxobxobb,o
bbxboxobb,o
obxbbxbob,o
boxbbxbob,o
bbxobxbob,o
bbxboxbob,o
bbxbbxoob,o
obxbbxbbo,o
boxbbxbbo,o
bbxobxbbo,o
bbxboxbbo,o
bbxbbxobo,o
bbxbbxboo,o
oobxbxbbb,o
oboxbxbbb,o
booxbxbbb,o
obbxoxbbb,o
bobxoxbbb,o
bboxoxbbb,o
obbxbxobb,o
bobxbxobb,o
bboxbxobb,o
bbbxoxobb,o
obbxbxbob,o
bobxbxbob,o
bboxbxbob,o
bbbxoxbob,o
bbbxbxoob,o
obbxbxbbo,o
bobxbxbbo,o
bboxbxbbo,o
bbbxoxbbo,o
bbbxbxobo,o
bbbxbxboo,o
oobbxxbbb,o
obobxxbbb,o
boobxxbbb,o
obboxxbbb,o
boboxxbbb,o
bbooxxbbb,o
obbbxxobb,o
bobbxxobb,d
bbobxxobb,d
bbboxxobb,o
obbbxxbob,d
bobbxxbob,x
bbobxxbob,d
bbboxxbob,o
bbbbxxoob,o
obbbxxbbo,d
bobbxxbbo,d
bbobxxbbo,d
bbboxxbbo,o
bbbbxxobo,o
bbbbxxboo,o
xoobbbxbb,x
xobobbxbb,o
xboobbxbb,o
xobbobxbb,o
xbobobxbb,d
xbboobxbb,o
xobbboxbb,x
xbobboxbb,o
xbboboxbb,o
xbbbooxbb,o
xobbbbxob,o
xbobbbxob,d
xbbobbxob,o
xbbbobxob,o
xbbbboxob,x
xobbbbxbo,d
xbobbbxbo,o
xbbobbxbo,o
xbbbobxbo,d
xbbbboxbo,o
xbbbbbxoo,x
oxobbbxbb,o
oxbobbxbb,o
bxoobbxbb,o
oxbbobxbb,o
bxobobxbb,o
bxboobxbb,o
oxbbboxbb,o
bxobboxbb,o
bxboboxbb,o
bxbbooxbb,o
oxbbbbxob,d
bxobbbxob,d
bxbobbxob,d
bxbbobxob,d
bxbbboxob,d
oxbbbbxbo,o
bxobbbxbo,o
bxbobbxbo,o
bxbbobxbo,o
bxbbboxbo,o
bxbbbbxoo,d
ooxbbbxbb,o
obxobbxbb,o
boxobbxbb,o
obxbobxbb,o
boxbobxbb,o
bbxoobxbb,o
obxbboxbb,o
boxbboxbb,o
bbxoboxbb,o
bbxbooxbb,o
obxbbbxob,o
boxbbbxob,o
bbxobbxob,o
bbxbobxob,o
bbxbboxob,o
obxbbbxbo,o
boxbbbxbo,o
bbxobbxbo,o
bbxbobxbo,o
bbxbboxbo,o
bbxbbbxoo,o
oobxbbxbb,o
oboxbbxbb,o
booxbbxbb,o
obbxobxbb,o
bobxobxbb,o
bboxobxbb,o
